,SN,expectedAge,Age,AgeRange,Gender,Race,S3.Others,Citizen,Marital,WhenMarry,NoMarry.CannotFind,NoMarry.TooExpensive,NoMarry.CannotFindHouse,NoMarry.Others,A3_4.Others,No.Children,No.ChildrenIntend,MoreChildren,Child.TooExpensive,Child.HardSecureHouse,Child.TooCompetitive,Child.TooUncertain,Child.DifficultChildcare,Child.AffectCareer,Child.Enough,Others,A7_8.Others,Breadwinner,PurchaseHouse,WithWho,DecisionMaker,YrPurchase,YrNextChild,DualIncome,SingleIncome,NonHousingAssets,Rank_Size,Rank_Location,Rank_Gains,Rank_MoveInTime,Rank_SellTime,C1_1,C1_2,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,C3_4,C3_a,C3_b,C4Post_1,C4Post_2,C4Post_3,C4Post_4,C5_1,C5_2,C5_3,C6_1,C6_2,C6_3,C6_4,C6_a,C6_b,D1_1,D1_2,D2_1,D2_2,D2_3,D3_1,D3_2,D3_3,D3_4,D3_a,D3_b,D4Post_1,D4Post_2,D4Post_3,D4Post_4,D5_1,D5_2,D5_3,D6_1,D6_2,D6_3,D6_4,D6_a,D6_b,E1_1,E1_2,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,E3_4,E3_a,E3_b,E4Post_1,E4Post_2,E4Post_3,E4Post_4,E5_1,E5_2,E5_3,E6_1,E6_2,E6_3,E6_4,E6_a,E6_b,F1_1,F1_2,F2_1,F2_2,F2_3,F3_1,F3_2,F3_3,F3_4,F3_a,F3_b,F4Post_1,F4Post_2,F4Post_3,F4Post_4,F5_1,F5_2,F5_3,F6_1,F6_2,F6_3,F6_4,F6_a,F6_b,CD_s_1_1,CD_s_1_2,CD_s_2_1,CD_s_2_2,CD_s_2_3,CD_s_2_a,CD_s_2_b,CD_s_3_1,CD_s_3_2,CD_s_3_3,CD_s_4_1,CD_s_4_2,CD_s_4_3,CD_s_5_1,CD_s_5_2,CD_s_5_3,CD_s_5_4,CD_s_5_a,CD_s_5_b,E_s_1_1,E_s_1_2,E_s_2_1,E_s_2_2,E_s_2_3,E_s_2_a,E_s_2_b,E_s_3_1,E_s_3_2,E_s_3_3,E_s_4_1,E_s_4_2,E_s_4_3,E_s_5_1,E_s_5_2,E_s_5_3,E_s_5_4,E_s_5_a,E_s_5_b,Policy.10mopTooLong,Policy.8mopTooLong,Policy.mopWontSell,Policy.mopCanWait,Policy.8clawbackTooStiff,Policy.4clawbackTooStiff,Policy.clawbackWontSell,Policy.clawbackCanCover,Policy.LikeLocation,Policy.LikeBig,Policy.Others,G1_11.Others,ChangeFamilyPlanning,MoreChild,LessChild,PolicyFamily.LessHousingBurden,PolicyFamily.MoreHousingBurden,PolicyFamily.EasierChildrenEnvironment,PolicyFamily.DifficultChildrenEnvironment,PolicyFamily.LifestyleChange,PolicyFamily.Others,G5_6.Others,CentralPublicDemand,CentralPrivateDemand,CentralPublicSupply,CentralPrivateSupply,CentralReturns,CentralVolatility,CentralPublicDemandPost,CentralPrivateDemandPost,CentralPublicSupplyPost,CentralPrivateSupplyPost,CentralReturnsPost,CentralVolatilityPost,PlusPublicDemand,PlusPrivateDemand,PlusPublicSupply,PlusPrivateSupply,PlusReturns,PlusVolatility,PlusPublicDemandPost,PlusPrivateDemandPost,PlusPublicSupplyPost,PlusPrivateSupplyPost,PlusReturnsPost,PlusVolatilityPost,StandardPublicDemand,StandardPrivateDemand,StandardPublicSupply,StandardPrivateSupply,StandardReturns,StandardVolatility,StandardPublicDemandPost,StandardPrivateDemandPost,StandardPublicSupplyPost,StandardPrivateSupplyPost,StandardReturnsPost,StandardVolatilityPost,Winner_LowIncomeBTO,Winner_HighIncomeBTO,Winner_PrivatePropertyPurchasers,Winner_HighIncomeResale,H1_5,Benefit_Below40yo,Benefit_40yo60yo,Benefit_Above60yo,Segregation,LowerWealthAccum,PersonalIncome,Education,Employment,I3.Others,Industry,WorkplaceLocate,WorkplaceLocality,HomeLocate,CurrentHouseOwner,I9.Others,CurrentHousingType,HDBType,PrivateType,I7_b_b.Others,YrMoveInHome,Owner.Parent,Owner.Spouse,Owner.Family,Owner.Friend,Owner.Other,I10_a_5.Others,HomeValueEstimate,RentFrom,I10_r_a.Others,HomeRentEstimate,Two_MatureNew,Two_NonMatureNew,Tri_MatureNew,Tri_NonMatureNew,Tri_MatureResale,Four_MatureNew,Four_NonMatureNew,Four_MatureResale,Four_NonMatureResale,PrePolicyDownpayment,PrePolicyTDSR,Post_PrimeNew,Post_NonMatureNew,Post_PlusResale,Post_NonMatureResale,Z5_1,Z5_2,Z5_3,PostFour_HighestRank,PostFour_MidPrimeNew,PostFour_SmallPrimeNew,PostFour_BigPlusNew,PostPolicyDownpayment,PostPolicyTDSR,Two_Single_MatureNew,Two_Single_MatureResale,Tri_Single_MatureNew,Tri_Single_MatureResale,Tri_Single_NonMatureResale,PrePolicyDownpaymentSingle,PrePolicyTDSRSingle,Post_Single_PrimeNew,Post_Single_PlusResale,Post_Single_NonMatureResale,Z_s_4_1,Z_s_4_2,Z_s_4_3,PostSingleFour_HighestRank,PostSingleFour_PrimeNew,PostSingleFour_PrimeResale,PostSingleFour_BigPlusResale,PostPolicyDownpaymentSingle,PostPolicyTDSRSingle,2ChoiceRANK1,3ChoiceRANK1,4ChoiceRANK1,PostChoiceRANK1,PostFourChoiceRANK1,2ChoiceRANK2,3ChoiceRANK2,4ChoiceRANK2,PostChoiceRANK2,PostFourChoiceRANK2,2ChoiceRANK3,3ChoiceRANK3,4ChoiceRANK3,PostChoiceRANK3,PostFourChoiceRANK3,2ChoiceRANK4,3ChoiceRANK4,4ChoiceRANK4,PostChoiceRANK4,PostFourChoiceRANK4,2ChoiceSingleRANK1,3ChoiceSingleRANK1,PostChoiceSingleRANK1,PostFourChoiceSingleRANK1,2ChoiceSingleRANK2,3ChoiceSingleRANK2,PostChoiceSingleRANK2,PostFourChoiceSingleRANK2,2ChoiceSingleRANK3,3ChoiceSingleRANK3,PostChoiceSingleRANK3,PostFourChoiceSingleRANK3,2ChoiceSingleRANK4,3ChoiceSingleRANK4,PostChoiceSingleRANK4,PostFourChoiceSingleRANK4,single_eligible,Rank_1,single1buy,ineli,Pn1,Pm1,P%1,Pn2,Pm2,P%2,Pn3,Pm3,P%3
134,135,24,24,1,2,1, ,1,3,1.0,0,1,0,0, ,0,1.0,,1,0,0,0,1,0,0,0, ,2,2,2,,2024, ,,1.0,3,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,20%,50%,2,1,3,1000,100,100,2,3,4,1,30%,50%, , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,1,0,1,0,0,0, ,2,2, ,0,0,1,0,1,0, ,1,5,2,3,5,6,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,4,3,6,5,3,3,4,5,6,2,4,1,5,3,2,1,3,1,1,5,2,2, ,, ,2.0,Punggol,5, ,3,2.0,, ,2015,1,0,0,0,0, ,1000000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.0,3.0,2.0,20%,50%,2.0,1.0,3.0,1000.0,100.0,100.0,2.0,3.0,4.0,1.0,30%,50%,,1.0,1.0,3.0,4.0,,3.0,4.0,1.0,1.0,,,3.0,4.0,2.0,,,,,3.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,,2.0,3.0,2.0,,,,3.0,1,5,1,0,1000.0,700.0,0.7,100.0,-200.0,-2.0,100.0,-200.0,-2.0
135,136,28,22,1,1,1, ,1,1,,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,1,1,3,2.0,2030,2024,2.0,,4,2,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,2,3,4,1,20%,30%,3,2,4,1,400,380,360,1,3,4,2,20%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,3,5,4,6,5,5,3,5,4,6,6,4,4,4,4,4,4,3,3,3,4,4,3,5,5,5,5,5,6,4,4,4,4,4,4,3,2,5,4,1,3,2,1,2,2,4,3,6, ,5.0,Bukit Panjang,,Bukit Panjang,5, ,4,,, ,2024,1,0,0,0,0, ,10000000,, , ,1.0,2.0,1,2,3.0,2.0,3.0,4.0,1.0,20%,30%,3.0,2.0,4.0,1.0,400.0,380.0,360.0,1.0,3.0,4.0,2.0,20%,30%,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,,3.0,2.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,400.0,-100.0,-0.25,380.0,-120.0,-0.3157894736842105,360.0,-140.0,-0.3888888888888889
136,137,34,33,3,2,1, ,1,1,,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2025,2025,4.0,,6,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,1,1,2,3,4,80%,50%,1,2,3,4,700,700,1500,1,2,3,4,80%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,6,7,6,7,6,7,7,5,6,6,7,7,6,7,6,7,4,6,7,6,6,6,7,6,6,7,7,5,6,5,6,7,6,4,5,1,2,3,4,5,3,2,1,2,2,2,6,6, ,11.0,Jurong East,,310145,1, ,3,4.0,, ,2015,0,0,0,0,0, ,1000000,, , ,2.0,1.0,3,2,1.0,1.0,2.0,3.0,4.0,80%,50%,1.0,2.0,3.0,4.0,700.0,700.0,1500.0,1.0,2.0,3.0,4.0,80%,50%,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,3.0,3.0,3.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,1,0,1,700.0,-300.0,-0.42857142857142855,700.0,-300.0,-0.42857142857142855,1500.0,500.0,0.3333333333333333
137,138,37,32,3,1,1, ,1,3,2.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2029,2030,3.0,,5,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,4,2,3,30%,20%,1,4,2,3,950,900,890,2,1,4,3,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,0,0,0,0, ,4, ,1,0,1,0,0,0,0, ,5,4,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,2,1,5,3,4,3,1,2,3,1,6,2,6, ,11.0,Tiong Bahru,,Geylang Bahru,3, ,3,2.0,, ,2020,1,0,0,0,0, ,5000000,, , ,1.0,2.0,1,3,2.0,1.0,4.0,2.0,3.0,30%,20%,1.0,4.0,2.0,3.0,950.0,900.0,890.0,2.0,1.0,4.0,3.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,,2.0,4.0,4.0,4.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,950.0,270.0,0.28421052631578947,900.0,220.0,0.24444444444444444,890.0,210.0,0.23595505617977527
138,139,35,31,3,1,1, ,1,3,3.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2028,2028,2.0,,3,3,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,20%,20%,3,1,4,2,800,500,600,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,1,1,0, ,1, , ,0,0,0,0,0,0, ,6,6,4,4,6,6,5,6,5,4,5,5,7,6,4,4,7,7,5,6,4,4,5,6,6,5,6,5,5,5,5,6,4,4,4,5,1,2,4,5,3,1,2,3,2,2,4,2,6, ,16.0,HarbourFront,,Hougang,5, ,3,5.0,, ,2003,1,0,0,0,0, ,500000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,20%,20%,3.0,1.0,4.0,2.0,800.0,500.0,600.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,800.0,300.0,0.375,500.0,0.0,0.0,600.0,100.0,0.16666666666666666
139,140,37,28,2,2,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2033,2034,3.0,,3,2,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,30%,40%,3,1,4,2,450,400,600,2,3,4,1,20%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,2,6,3,3,7,6,3,7,3,4,5,7,4,6,5,5,6,4,5,5,5,5,5,4,2,3,4,5,6,6,3,6,3,6,7,4,1,3,2,5,1,2,3,2,1,6,2,6, ,6.0,Novena,,730750,5, ,3,4.0,, ,2004,1,0,0,0,0, ,650000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,30%,40%,3.0,1.0,4.0,2.0,450.0,400.0,600.0,2.0,3.0,4.0,1.0,20%,30%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,450.0,-230.0,-0.5111111111111111,400.0,-280.0,-0.7,600.0,-80.0,-0.13333333333333333
140,141,39,33,3,2,1, ,1,3,1.0,1,0,0,0, ,0,1.0,,1,1,1,1,0,0,0,0, ,2,2,2,,2030, ,,3.0,2,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,1,4,3,2,1,20%,20%,4,3,2,1,700,680,800,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,0, ,3, , ,0,1,0,1,1,0, ,5,5,4,4,4,5,4,5,4,4,4,5,5,4,4,4,5,5,4,4,4,6,6,4,4,6,4,5,5,5,5,5,5,5,6,5,1,4,2,3,5,3,2,1,3,1,5,2,6, ,14.0,Chinatown,,Toa Payoh,5, ,3,5.0,, ,1992,1,0,0,0,0, ,1000000,, , ,2.0,1.0,3,2,1.0,4.0,3.0,2.0,1.0,20%,20%,4.0,3.0,2.0,1.0,700.0,680.0,800.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,,1.0,2.0,2.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,5,1,1,700.0,-300.0,-0.42857142857142855,680.0,-320.0,-0.47058823529411764,800.0,-200.0,-0.25
141,142,40,34,3,2,1, ,1,1,,0,0,0,0, ,2,,1.0,1,1,1,0,1,0,1,0, ,2,2,3,2.0,2030, ,2.0,,3,1,4,3,5,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,1,2,3,4,60%,40%,4,2,1,3,400,300,600,3,1,4,2,50%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,1,5,6,3,4,7,7,5,6,2,5,7,1,4,3,6,7,4,7,2,6,5,4,1,2,6,3,6,3,4,6,4,5,2,3,7,5,2,3,4,1,2,1,3,2,1,5,2,6, ,6.0,Queensway,,640522,1, ,3,5.0,, ,2016,0,0,0,0,0, ,500000,, , ,1.0,2.0,2,3,1.0,1.0,2.0,3.0,4.0,60%,40%,4.0,2.0,1.0,3.0,400.0,300.0,600.0,3.0,1.0,4.0,2.0,50%,50%,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,,2.0,3.0,4.0,1.0,,,4.0,1.0,3.0,,,,,,,,,,,,,,,,,0,1,0,0,400.0,-100.0,-0.25,300.0,-200.0,-0.6666666666666666,600.0,100.0,0.16666666666666666
142,143,27,27,2,1,3, ,1,3,3.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2024,2025,2.0,,1,2,1,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,2,4,1,30%,20%,3,2,4,1,450,350,550,1,3,4,2,25%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,1,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,6,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,1,5,3,2,1,2,3,2,2,4,3,6, ,5.0,Hougang,,530569,5, ,3,4.0,, ,2002,1,0,0,0,0, ,450000,, , ,2.0,1.0,2,1,3.0,3.0,2.0,4.0,1.0,30%,20%,3.0,2.0,4.0,1.0,450.0,350.0,550.0,1.0,3.0,4.0,2.0,25%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,450.0,-50.0,-0.1111111111111111,350.0,-150.0,-0.42857142857142855,550.0,50.0,0.09090909090909091
143,144,25,21,1,1,1, ,1,3,2.0,0,0,0,0, ,0,4.0,,0,0,0,0,0,0,0,0, ,1,2,3,2.0,2028,2030,3.0,,2,2,1,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,2,3,4,20%,20%,3,1,4,2,680,500,800,2,3,4,1,30%,25%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,6,6,4,5,4,5,5,6,5,5,6,5,6,7,5,5,4,4,6,7,6,6,6,4,5,4,4,4,5,5,6,4,5,4,5,5,3,2,1,4,5,1,2,3,2,1,7,1,2, ,, ,3.0,Serangoon,5, ,3,4.0,, ,2003,1,0,0,0,0, ,500000,, , ,1.0,2.0,1,3,2.0,1.0,2.0,3.0,4.0,20%,20%,3.0,1.0,4.0,2.0,680.0,500.0,800.0,2.0,3.0,4.0,1.0,30%,25%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,,2.0,3.0,1.0,2.0,,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,680.0,0.0,0.0,500.0,-180.0,-0.36,800.0,120.0,0.15
144,145,40,30,2,1,1, ,1,3,1.0,1,0,0,0, ,0,1.0,,1,0,1,1,1,1,0,0, ,1,1,1,1.0,2034, ,3.0,,6,5,3,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,2,1,3,2,4,1,30%,30%,4,3,2,1,500,500,500,4,3,2,1,30%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,Nil,3, , ,0,1,0,0,0,0, ,1,2,2,2,3,2,7,6,5,5,4,3,2,1,1,1,1,1,5,7,5,4,2,5,1,1,1,1,1,1,2,2,2,2,2,3,1,2,3,4,5,3,2,1,3,2,2,8,5, ,, ,1.0,Pasir Ris,2, ,2,,3.0, ,2024,0,0,1,0,0, ,300000,, , ,1.0,2.0,3,2,1.0,3.0,2.0,4.0,1.0,30%,30%,4.0,3.0,2.0,1.0,500.0,500.0,500.0,4.0,3.0,2.0,1.0,30%,50%,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,,1.0,1.0,2.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,0,4,0,0,500.0,-180.0,-0.36,500.0,-180.0,-0.36,500.0,-180.0,-0.36
145,146,34,31,3,1,1, ,1,1,,0,0,0,0, ,0,1.0,,1,0,1,1,1,1,0,0, ,1,2,3,2.0,2027, ,3.0,,1,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,1,2,4,3,20%,20%,1,2,4,3,580,500,600,1,3,4,2,25%,25%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,1,0,0,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,6,6,4,4,5,5,3,5,4,4,5,5,6,5,4,4,5,5,5,4,4,4,5,5,2,4,4,4,5,5,5,5,4,4,5,5,1,5,2,4,3,3,2,1,3,1,5,2,6, ,18.0,Clarke Quay,,Sengkang,2, ,3,4.0,, ,2022,0,1,0,0,0, ,680000,, , ,1.0,2.0,1,2,3.0,1.0,2.0,4.0,3.0,20%,20%,1.0,2.0,4.0,3.0,580.0,500.0,600.0,1.0,3.0,4.0,2.0,25%,25%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,580.0,-100.0,-0.1724137931034483,500.0,-180.0,-0.36,600.0,-80.0,-0.13333333333333333
146,147,37,31,3,2,1, ,1,3,2.0,0,0,0,0, ,0,1.0,,1,0,0,0,0,0,0,0, ,2,2,2,,2030, ,,3.0,3,2,1,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,4,2,3,1,20%,5%,4,2,3,1,700,700,750,3,2,4,1,20%,5%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,Nil,1, , ,0,0,0,0,0,0, ,5,5,4,4,3,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,4,1,1,2,3,2,1,6,2,6, ,13.0,Stadium,,Sembawang,5, ,3,5.0,, ,2001,1,0,0,0,0, ,500000,, , ,2.0,1.0,2,1,3.0,4.0,2.0,3.0,1.0,20%,5%,4.0,2.0,3.0,1.0,700.0,700.0,750.0,3.0,2.0,4.0,1.0,20%,5%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,,3.0,3.0,3.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,2,1,1,700.0,-300.0,-0.42857142857142855,700.0,-300.0,-0.42857142857142855,750.0,-250.0,-0.3333333333333333
147,148,29,28,2,1,1, ,1,3,2.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2025,2026,3.0,,3,1,2,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,25%,25%,3,1,4,2,600,550,650,2,3,4,1,25%,25%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,7,7,6,7,7,7,6,6,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,1,3,2,4,5,1,2,3,3,2,5,2,6, ,14.0,Boon Lay,,Redhill,5, ,3,4.0,, ,2018,1,0,0,0,0, ,450000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,25%,25%,3.0,1.0,4.0,2.0,600.0,550.0,650.0,2.0,3.0,4.0,1.0,25%,25%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,1,0,0,600.0,-80.0,-0.13333333333333333,550.0,-130.0,-0.23636363636363636,650.0,-30.0,-0.046153846153846156
148,149,33,30,2,1,3, ,1,1,,0,0,0,0, ,1,,3.0,0,0,0,0,0,0,0,0, ,1,1,3,1.0,2027,2025,2.0,,2,2,1,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,2,1,4,3,50%,50%,2,1,4,3,550,520,580,1,3,4,2,50%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,2,5,3,6,5,7,1,6,1,6,6,6,7,6,1,6,6,7,1,7,1,6,6,7,1,7,1,7,7,7,1,7,1,6,6,1,2,3,4,5,1,2,3,3,2,4,3,6, ,2.0,Raffles Place,,Yishun,2, ,3,5.0,, ,2022,0,1,0,0,0, ,650000,, , ,2.0,1.0,2,1,3.0,2.0,1.0,4.0,3.0,50%,50%,2.0,1.0,4.0,3.0,550.0,520.0,580.0,1.0,3.0,4.0,2.0,50%,50%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,550.0,50.0,0.09090909090909091,520.0,20.0,0.038461538461538464,580.0,80.0,0.13793103448275862
